테이블정의서,,,,,,,,,
테이블명,학생,,테이블ID,STUDENT,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,USER_ID,,
테이블 설명,"대학 내 학생으로 등록된 액터가 기록되는, 사용자 테이블의 자식 테이블입니다.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,PK,"입학년도 + LPAD(5, 입학순서) 총 9자리"
2.0,USER_ID,,사용자ID,사용자ID,VARCHAR2(50),NOT NULL,,FK(사용자),
3.0,UNIV_DEPT_CD,,소속학과코드,학과코드,VARCHAR2(50),NOT NULL,,FK(학과),
4.0,GRADE_CD,,학년코드,공통코드,VARCHAR2(50),NOT NULL,,FK(공통코드),
5.0,STU_STATUS_CD,,재학상태코드,공통코드,VARCHAR2(50),NOT NULL,,FK(공통코드),
6.0,ENG_LNAME,,영문성,,VARCHAR2(50),NOT NULL,,,
7.0,ENG_FNAME,,영문이름,,VARCHAR2(50),NOT NULL,,,
8.0,GUARD_NAME,,보호자명,,VARCHAR2(50),,,,
9.0,GUARD_RELATION,,보호자관계,,VARCHAR2(50),,,,
10.0,GUARD_PHONE,,보호자연락처,,VARCHAR2(50),,,,
11.0,PROFESSOR_ID,,지도교수교번,교번,CHAR(8),NOT NULL,,FK(PROFESSOR),
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_입학정보,,테이블ID,STU_ENTRANCE,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,"학생이 입학할 당시에 작성한, 입학원서에서 작성했으나 본 학사관리 시스템에서 메인으로 다루지 않는 데이터를 기록하는 테이블입니다.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,"PK, FK(USER)",
2.0,ENTRANCE_TYPE_CD,,입학전형코드,공통코드,VARCHAR2(50),NOT NULL,,,
3.0,GRAD_HIGHSCHOOL,,졸업고등학교,,VARCHAR2(50),,,,
4.0,GRAD_YEAR,,졸업년도,,CHAR(4),,,,
5.0,GRAD_EXAM_YN,,검정고시여부,YN,CHAR(1),NOT NULL,,,
6.0,TARGET_DEPT,,지망학과,,VARCHAR2(50),NOT NULL,,,수기로 기록한 지망학과를 그대로 입력
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_병역정보,,테이블ID,STU_MILITARY,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,"학생이 남성이거나, 입대 기록이 있는 여성인 경우 관련 데이터를 기록하는 테이블입니다.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,"PK, FK(USER)",
2.0,MILITARY_TYPE_CD,,병역코드,공통코드,VARCHAR2(50),NOT NULL,,,병역코드 : 5. LMS 자료사전
3.0,JOIN_AT,,입대일,,DATE,NOT NULL,,,
4.0,EXIT_AT,,전역일,,DATE,,,,NULL 이면 복무중
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_졸업요건제출,,테이블ID,STU_GRADU_REQ,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,"학생이 제출한 졸업요건을 기록하는 테이블입니다.
제출유형코드 컬럼의 값으로는, 학과별 조건을 뜻하는 DEPT_CONDITION 공통코드 중 졸업 관련 코드를 입력하세요.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,GRADU_REQ_SUBMIT_ID,,제출ID,시퀀스,CHAR(15),NOT NULL,,PK,
2.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,FK(STUDENT),
3.0,PROFESSOR_NO,,평가교수교번,교번,CHAR(8),NOT NULL,,FK(PROFESSOR),
4.0,GRADU_REQ_CD,,제출유형코드,공통코드,VARCHAR2(50),NOT NULL,,,"어학점수, 졸업논문, 졸업작품 등"
5.0,FILE_ID,,파일묶음ID,파일ID,VARCHAR2(50),NOT NULL,,,
6.0,SUBMIT_AT,,제출일,,DATE,NOT NULL,,,
7.0,EVALUATE_AT,,평가일,,DATE,,,,NULL이면 아직 평가받기 전이라는 뜻
8.0,EVALUATION,,평가내용,,VARCHAR2(4000),,,,NULL이면 아직 평가받기 전이라는 뜻
9.0,DELETE_YN,,삭제여부,YN,CHAR(1),NOT NULL,,,
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_학적변동내역,,테이블ID,UNIV_RECORD_HISTORY,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,"학생의 학적 변동 내역을 기록하는 테이블입니다. 학적 변동은 크게 2종류로 나뉩니다.
1. 자동으로 변경되는 것(학년 진급, 학사경고로 인한 제적, 졸업)
2. 신청을 통해 변경되는 것(휴학, 복학, 졸업유예, 자퇴로 인한 제적)

학번, 학적변동코드, 변동개시일 3컬럼이 모두 복합 기본키입니다.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,CHANGE_AT,,변동개시일,,DATE,NOT NULL,,PK,
2.0,RECORD_CHANGE_CD,,학적변동코드,공통코드,VARCHAR2(50),NOT NULL,,"PK, FK(공통코드)",학적변동코드 : 5. LMS 자료사전
3.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,"PK, FK(학생)",
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_학적변동신청,,테이블ID,UNIV_RECORD_APPLY,,,,,
작성일, ,,작성자,송태호,,UNIQUE,,,
테이블 설명,"학생의 ""소속 변경을 제외한 학적변동"" (휴학, 재학, 졸업유예, 자퇴) 을 신청한 내역을 기록합니다.
""학생_학적변동내역"" 테이블에서 설명한, ""2. 신청을 통해 변경되는 것"" 에 해당하는 학적변경만 신청할 수 있습니다.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,APPLY_ID,,학적변동신청ID,시퀀스,CHAR(15),NOT NULL,,PK,
2.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,FK(STUDENT),
3.0,RECORD_CHANGE_CD,,학적변동타입코드,공통코드,VARCHAR2(50),NOT NULL,,,"휴학, 복학, 졸업유예, 자퇴에 해당하는 공통코드"
4.0,DISIRE_TERM,,희망기간,,VARCHAR2(50),,,,휴학일 경우 희망기간 직접 작성
5.0,APPLY_AT,,신청일,,DATE,NOT NULL,SYSDATE,,
6.0,APPLY_REASON,,신청사유,,VARCHAR2(1000),NOT NULL,,,
7.0,APPLY_STATUS_CD,,신청상태코드,공통코드,VARCHAR2(50),NOT NULL,,,신청상태코드 : 5. LMS 자료사전
8.0,ATTACH_FILE_ID,,첨부파일ID,파일ID,VARCHAR2(50),,,FK(FILE),
9.0,APPROVAL_LINE,,최초승인ID,시퀀스,CHAR(15),NOT NULL,,FK(APPROVAL),
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_소속변동내역,,테이블ID,UNIV_AFFIL_HISTORY,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,"학생의 소속 변동 내역(전과, 복수전공, 부전공)을 기록하는 테이블입니다.
학생의 소속 변경은 학생의 신청 + 교수진의 승인에 의해서만 이루어집니다. (자동 소속 변경이 없음)",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,CHANGE_AT,,변동일,,DATE,NOT NULL,SYSDATE,PK,
2.0,AFFIL_CHAGNE_CD,,소속변동코드,공통코드,VARCHAR2(50),NOT NULL,,PK,
3.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,"PK, FK(STUDENT)",
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_소속변동신청,,테이블ID,UNIV_AFFIL_APPLY,,,,,
작성일,2025-09-21 00:00:00,,작성자,송태호,,UNIQUE,,,
테이블 설명,"학생의 소속 변동 신청(전과, 복수전공, 부전공)을 기록하는 테이블입니다.",,,,,,,,
,,,,,,,,,
번호,컬럼ID,,컬럼명,도메인,데이터타입,NULL,기본값,KEY,설명
1.0,APPLY_ID,,소속변동신청ID,시퀀스,CHAR(15),NOT NULL,,PK,"사용법 : 'AFFIL' || LPAD(SEQ_AFFIL_APPLY.NEXTVAL, 10, '0')"
2.0,STUDENT_NO,,학번,학번,CHAR(9),NOT NULL,,FK(STUDENT),
3.0,TARGET_DEPT_CD,,목표학과코드,학과코드,VARCHAR2(50),NOT NULL,,FK(UNIV_DEPT),
4.0,AFFIL_CHANGE_CD,,소속변동타입코드,공통코드,VARCHAR2(50),NOT NULL,,,"부전공, 복수전공, 전과에 해당하는 공통코드"
5.0,APPLY_AT,,신청일,,DATE,NOT NULL,SYSDATE,,
6.0,APPLY_REASON,,신청사유,,VARCHAR2(1000),NOT NULL,,,
7.0,APPLY_STATUS_CD,,신청상태코드,공통코드,VARCHAR2(50),NOT NULL,,,신청상태코드 : 5. LMS 자료사전
8.0,ATTACH_FILE_ID,,첨부파일ID,파일ID,VARCHAR2(50),,,FK(FILE),
9.0,APPROVAL_LINE,,최초승인ID,시퀀스,CHAR(15),NOT NULL,,FK(APPROVAL),
,,,,,,,,,
,,,,,,,,,
테이블정의서,,,,,,,,,
테이블명,학생_등록금납부요청,,테이블ID,STU_TUITION_REQ,,,,,
